gouvernorat,latitude,longitude
Ariana,36.8625,10.1956
Béja,36.7250,9.1819
Ben Arous,36.7400,10.2100
Bizerte,37.2700,9.8700
Gabès,33.8900,10.1100
Gafsa,34.4200,8.7900
Jendouba,36.5011,8.7802
Kairouan,35.6781,10.0963
Kasserine,35.1676,8.8365
Kébili,33.7044,8.9690
Le Kef,36.1822,8.7147
Mahdia,35.5068,11.0468
La Manouba,36.8078,10.1011
Médenine,33.3550,10.5055
Monastir,35.7694,10.8194
Nabeul,36.4542,10.7347
Sfax,34.7406,10.7603
Sidi Bouzid,35.0381,9.4858
Siliana,36.0850,9.3710
Sousse,35.8214,10.6344
Tataouine,32.9306,10.4500
Tozeur,33.9197,8.1335
Tunis,36.8064,10.1817
Zaghouan,36.4029,10.1429

